condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
scale_0.25,calibrated,13841,0.20900000000000002,0.9522013373934897,0.9735650720794746,0.862220937793512,0.8743403728108907,0.9471376998452811,0.8307135587470316,0.9179671868747499,0.8851135610578951,4588,410,1497,7346
noise_0.02,default_0.5,13841,0.5,0.8598402495681071,0.9284985700584115,0.7525467813019291,0.7919026255758439,0.9454126931930286,0.650231821779939,0.9335734293717487,0.7705192629815746,4666,332,3093,5750
noise_0.02,calibrated,13841,0.20900000000000002,0.8598402495681071,0.9284985700584115,0.7801459432121957,0.8023226139941445,0.9155918601318429,0.7224923668438312,0.8821528611444578,0.8076607041274256,4409,589,2454,6389
noise_0.05,default_0.5,13841,0.5,0.8719121822651938,0.9255651530917894,0.6883895672278014,0.7460867305194158,0.9537259615384616,0.5383919484337895,0.9537815126050421,0.6882544271774486,4767,231,4082,4761
noise_0.05,calibrated,13841,0.20900000000000002,0.8719121822651938,0.9255651530917894,0.7386749512318475,0.7786541847316785,0.9355,0.6347393418523125,0.9225690276110444,0.756316108603382,4611,387,3230,5613
noise_0.10,default_0.5,13841,0.5,0.8576191756811286,0.9000062136057274,0.66144064735207,0.7147310467780916,0.9082694951875859,0.5228994685061631,0.90656262505002,0.6637003014209847,4531,467,4219,4624
noise_0.10,calibrated,13841,0.20900000000000002,0.8576191756811286,0.9000062136057274,0.7269705946102161,0.7560534787249742,0.8921933085501859,0.6513626597308606,0.8607442977190877,0.752990391528858,4302,696,3083,5760
color_-0.20,default_0.5,13841,0.5,0.9283813943987637,0.9585573683846718,0.850588830286829,0.8478378799218431,0.9035139964264444,0.8577405857740585,0.8379351740696278,0.880032486367328,4188,810,1258,7585
color_-0.20,calibrated,13841,0.20900000000000002,0.9283813943987637,0.9585573683846718,0.8487103532981721,0.8282290751876913,0.8666739106812996,0.9019563496550944,0.7545018007202882,0.8839632051424138,3771,1227,867,7976
color_0.20,default_0.5,13841,0.5,0.9239515550650884,0.9537986175597079,0.8015316812369049,0.8234523256322771,0.9309954751131222,0.7445437068868032,0.902360944377751,0.8273955387998743,4510,488,2259,6584
color_0.20,calibrated,13841,0.20900000000000002,0.9239515550650884,0.9537986175597079,0.8418466873780797,0.8425622425833389,0.9056327724945136,0.8399864299445889,0.8451380552220888,0.8715752420064536,4224,774,1415,7428
crop_0.80,default_0.5,13841,0.5,0.9082121936188249,0.948699847394797,0.7313055415071166,0.7821520104140265,0.9682017543859649,0.5991179463982811,0.9651860744297719,0.7402025847013621,4824,174,3545,5298
crop_0.80,calibrated,13841,0.20900000000000002,0.9082121936188249,0.948699847394797,0.7815909255111625,0.815632925113956,0.9520037278657968,0.6930905801198688,0.9381752701080432,0.8021726326811072,4689,309,2714,6129
